id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,productDisplayName,image
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,Casual,David Beckham Signature Men Deos,18461.jpg
25474,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Nike Men Black Liteforce Mid Casual Shoes,25474.jpg
58531,Unisex,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,Miami Blues Unisex Sunglasses,58531.jpg
10009,Men,Apparel,Topwear,Tshirts,Red,Fall,Sports,Nike Men Town Round Red Neck T-Shirts,10009.jpg
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,56019.jpg
17861,Men,Apparel,Innerwear,Trunk,Navy Blue,Summer,Casual,Levis Men Boxer Navy Blue Trunks,17861.jpg
59306,Men,Apparel,Topwear,Tshirts,White,Winter,Casual,U.S. Polo Assn. Men White T-shirt,59306.jpg
24541,Women,Apparel,Topwear,Kurtas,Blue,Fall,Ethnic,Mother Earth Women Blue Printed Kurta,24541.jpg
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,Casual,Police Women Passion Perfume,43993.jpg
28835,Women,Apparel,Topwear,Kurtas,Multi,Summer,Ethnic,BIBA Women Printed Multi Coloured Kurta,28835.jpg
8139,Women,Accessories,Watches,Watches,Steel,Winter,Casual,Fastrack Women Steel-Toned Dial Watch 9733SL04,8139.jpg
1937,Women,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,Kalenji Women Black Pink Shoe,1937.jpg
56489,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,,Streetwear Ash Nail Polish # 31,56489.jpg
24951,Women,Apparel,Topwear,Tshirts,Yellow,Summer,Casual,United Colors of Benetton Women Yellow T-shirt,24951.jpg
32853,Women,Footwear,Shoes,Heels,Green,Winter,Casual,Grendha Women Claudia Green Flats,32853.jpg
24500,Women,Apparel,Topwear,Kurtas,Beige,Fall,Ethnic,Mother Earth Women Beige Printed Kurta,24500.jpg
43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,Casual,DKNY Women Red Delicious Perfume,43967.jpg
6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,Casual,Classic Polo Men's Swiss Yellow T-shirt,6287.jpg
49590,Women,Footwear,Shoes,Heels,Brown,Winter,Casual,Catwalk Women Brown Wedges,49590.jpg
19326,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,Myntra Men Solid Blue Sweatshirt,19326.jpg
2618,Women,Footwear,Shoes,Flats,Silver,Spring,Casual,Carlton London Women Silver Wedge Sandal,2618.jpg
38364,Men,Accessories,Wallets,Wallets,Coffee Brown,Summer,Casual,Peter England Men Dark Brown Wallet,38364.jpg
50943,Women,Apparel,Bottomwear,Jeans,Blue,Winter,Casual,Lee Womens Blue Maxi Fit Jeans,50943.jpg
21130,Women,Apparel,Topwear,Tops,Maroon,Fall,Casual,s.Oliver Women Solid Maroon Top,21130.jpg
36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,Casual,Giorgio Armani Women Idole Perfume,36934.jpg
52623,Women,Accessories,Bags,Handbags,Black,Summer,Casual,Mod'acc Women Black & Grey Handbag,52623.jpg
50610,Men,Apparel,Innerwear,Briefs,Navy Blue,Winter,Casual,Chromozome Men Navy Blue Brief,50610.jpg
2026,Men,Apparel,Topwear,Tshirts,Green,Fall,Casual,ADIDAS Mens Full Deep Green T-shirt,2026.jpg
44187,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,Casual,Nike Fragrances Women 5th Element Perfume 150 ml,44187.jpg
15540,Unisex,Accessories,Headwear,Caps,Navy Blue,Summer,Sports,Fila Unisex Solid Navy Blue Caps,15540.jpg
46612,Women,Footwear,Shoes,Heels,Brown,Winter,Casual,Catwalk Women Brown Wedges,46612.jpg
12712,Women,Footwear,Shoes,Sports Shoes,Silver,Fall,Sports,Nike Women Dual Fusion Silver Sports Shoes,12712.jpg
26735,Men,Personal Care,Fragrance,Deodorant,Black,Spring,Casual,Reebok Men Pack of 2 Pirates of the Caribbean Deos,26735.jpg
50321,Women,Apparel,Topwear,Kurtis,Black,Summer,Ethnic,Aurelia Women Black Kurti,50321.jpg
19365,Men,Footwear,Shoes,Casual Shoes,Tan,Winter,Casual,Redtape Men Calcullas Tan Casual Shoes,19365.jpg
56709,Women,Apparel,Topwear,Kurtas,White,Fall,Ethnic,Folklore Women White & Green Kurta,56709.jpg
56026,Women,Personal Care,Lips,Lipstick,Brown,Spring,Casual,Colorbar Soft Touch Mousse Lipstick 025,56026.jpg
36357,Men,Accessories,Ties,Ties,Navy Blue,Summer,Formal,Reid & Taylor Men Navy Blue Tie,36357.jpg
30077,Women,Accessories,Watches,Watches,White,Winter,Casual,Ed Hardy Women White Dial Watch,30077.jpg
5364,Men,Footwear,Shoes,Sports Shoes,Green,Fall,Sports,Solognac Inv 50 Men Green,5364.jpg
58980,Women,Personal Care,Fragrance,Deodorant,Pink,Spring,Casual,Colour me Women Flowers Deo,58980.jpg
13571,Men,Apparel,Innerwear,Innerwear Vests,Red,Summer,Casual,Hanes Men Racer Back Red Innerwear Vests,13571.jpg
23768,Women,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,Oakley Women Black Unfaithful Sunglasses,23768.jpg
11679,Men,Apparel,Topwear,Shirts,Grey,Fall,Casual,Lee Men Check Grey Shirts,11679.jpg
55491,Women,Personal Care,Lips,Lip Gloss,Brown,Spring,Casual,Revlon Gold Dust Poussiere Doree Colorburst Lip Gloss 024,55491.jpg
49363,Men,Footwear,Shoes,Casual Shoes,Beige,Summer,Casual,Vans Men Beige Casual Shoes,49363.jpg
40173,Men,Accessories,Eyewear,Sunglasses,Black,Winter,Casual,Fastrack Men Black Polarized Sporty Wrap Sunglasses,40173.jpg
9524,Unisex,Accessories,Bags,Backpacks,Black,Fall,Casual,ADIDAS Unisex CR FB Black Backpacks,9524.jpg
58974,Men,Personal Care,Fragrance,Deodorant,Gold,Spring,Casual,Colour me Men Gold Deo,58974.jpg
9534,Men,Apparel,Topwear,Tshirts,Black,Summer,Sports,Nike Men Ast 90ss Graphic Black T-Shirts,9534.jpg
45033,Men,Accessories,Watches,Watches,White,Winter,Casual,Maxima Men White Dial Attivo Watch,45033.jpg
22769,Women,Apparel,Topwear,Kurtas,Maroon,Fall,Ethnic,BIBA Women Printed Maroon Kurta,22769.jpg
55465,Women,Personal Care,Lips,Lipstick,Red,Spring,Casual,Revlon Super Lusterous Lipstick 304,55465.jpg
6451,Women,Footwear,Flip Flops,Flip Flops,Black,Summer,Casual,Lotto Women's Sunsets Black Purple Flip Flop,6451.jpg
3393,Women,Accessories,Bags,Handbags,Green,Winter,Casual,Murcia Women Green Dotted Bag,3393.jpg
52972,Women,Apparel,Saree,Sarees,Multi,Fall,Ethnic,FNF Multi Coloured Sari,52972.jpg
26197,Men,Personal Care,Fragrance,Perfume and Body Mist,Green,Spring,Casual,Formula 1 Go Men Perfume,26197.jpg
48591,Women,Accessories,Jewellery,Earrings,Silver,Summer,Casual,Lucera Women Silver Earrings,48591.jpg
